Organization,Search Category 1,Search Category 2,Search Category 3,Search Category 4,Search Category 5,Search Category 6,Revised Service Class: Level 1,Revised Service Class: Level 1,Revised Service Class: Level 1,Revised Service Class: Level 1,Revised Service Class: Level 1,Revised Service Class: Level 2,Revised Service Class: Level 2,Revised Service Class: Level 2,Revised Service Class: Level 2,Revised Service Class: Level 2,Revised Service Class: Level 2,Revised Service Class: Level 2,Service Class 1,Service Class 2,Service Class 3,Website URL,Address,Unit Number,Community,State,Zip Code,County,Phone Number,Contact Name 1,Contact Email 1,Contact Name 2,Contact Email 2,Target Population 1,Target Population 2,Target Population 3,Age Range,Mission Statement,Additional Notes,Date Emailed,Date Called,Initials,,,,,,,,,,,,,,,,,,,
15 West Coffeehouse,Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,Clubhouse,,,http://www.firstchurchuu.org/outreach.html#glbt,15 West Street,,Leominster,MA,01453,Worcester,978.537.0310  ,,mailto:GLBTalliance@gmail.com,,,LGBTQ youth,,,,"The GLBT Alliance of North Central Massachusetts is a partnership project to promote the vitality and well being of the region by developing and piloting a series of monthly cultural, social, and recreational events for the GLBT population and their advocates. The intent is to help build awareness and understanding of GLBT issues among local schools, organizations, and communities while providing GLBT persons with venues for personal growth and development.",,,,,,,,,,,,,,,,,,,,,,,
15 West Coffeehouse,Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,Clubhouse,,,http://www.firstchurchuu.org/outreach.html#glbt,932 Main Street,,Fitchburg,MA,01453,Worcester,978.537.0310  ,,mailto:GLBTalliance@gmail.com,,,LGBTQ youth,,,,"The GLBT Alliance of North Central Massachusetts is a partnership project to promote the vitality and well being of the region by developing and piloting a series of monthly cultural, social, and recreational events for the GLBT population and their advocates. The intent is to help build awareness and understanding of GLBT issues among local schools, organizations, and communities while providing GLBT persons with venues for personal growth and development.",,,,,,,,,,,,,,,,,,,,,,,
A New Day - Health Imperatives,Health and Mental Health,"Counseling, Therapy, Psychological and Psychiatric Services",Hotline Services,Domestic and Sexual Violence Services,,,Para-professional support services,Awareness,,,,Individual advocacy services,"Counseling, Therapy and Support",Hotline Services,,,,,,,,http://healthimperatives.org/anewday/,950 W. Chestnut Street,,Brockton,MA,02301,, 508-588-2045 ,,,,,,,,,"A New Day, formerly Womansplace Crisis Center, is a program of Health Imperatives. We promote healing and create solutions to end sexual violence and relationship violence. Services are open to all people regardless of gender, age, sexual orientation, race, and language.","24 hour hotline: 508-588-8255; also have sites in quincy and plymouth, but couldn't find the addresses",,,,,,,,,,,,,,,,,,,,,,
AA Central Service Committee of Eastern Mass,Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,"Direct Prevention, Outreach and Stabilization Services",,,http://www.aaboston.org/,12 Channel St.,Suite 604,Boston,MA,02210,Suffolk,(617) 426-9444,,,,,LGBTQ youth,,,,"Alcoholics Anonymous is a fellowship of men and women who share their experience, strength and hope with each other that they may solve their common problem and help others to recover from alcoholism. ",MEN AND WOMEN SPECIFIED? SHOULD WE OMIT THAT BIT? OR IS IT USEFUL?,,,,,,,,,,,,,,,,,,,,,,
AAGLY (Athol Alliance of Gay and Lesbian Youth),Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,Clubhouse,,,,,,Athol,MA,,Worcester,(508) 249-2248,Norma Whelpley,,,,LGBTQ youth,,,,,FROM ERIKA'S CATEGORIES: IS THIS ACCESSIBLE TO YOUTH?,,,,,,,,,,,,,,,,,,,,,,
Affirmative Counseling,Health and Mental Health,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Behavioral Health Services,,,,,Clinical Counseling; Other Professional Counseling and Therapy,,,,,,,"Clinical and Medical Counseling, Therapy and Treatment",,,www.affirmativecounseling.net,42 Howard Street,,Pittsfield,MA,01201,Berkshire,"413.358.3038, 413.358.5697",Sara Shuff,sarashuff@affirmativecounseling.net,Kelly Heck,kellyheck@affirmativecounseling.net,LGBTQ youth,transgender youth,family,,"At Affirmative Counseling we believe that each person has the ability to heal and grow; to create a life that is satisfying and meaningful; to build life-giving relationships; to accept imperfection in self and others; and to find the strength to cope with the challenges that life presents.  We use a variety of traditional and holistic therapeutic techniques to support you in your journey of physical, emotional, intellectual, and spiritual well-being.",,,,,,,,,,,,,,,,,,,,,,,
AIDS Action Committee,Health and Mental Health,Case Management,Legal Services,HIV and AIDS services,Screening and Testing,,Other Professional Services,Health Services, Para-professional Support Services,,,Legal Services,Clinical Counseling,Medical Counseling, Case Management,,,,"Community Prevention, Education and Outreach",,,http://www.aac.org/about/,75 Amory Street,,Boston,MA,02119,Suffolk,617.437.6200,,,,,LGBTQ youth,,,,"AIDS Action Committee of Massachusetts is a leader in the fight against HIV/AIDS, advocating at the city, state, and federal levels for fair and effective AIDS policies, conducting cutting edge HIV prevention programs, and providing health and wellness services to people already living with HIV. ",,,,,,,,,,,,,,,,,,,,,,,
AIDS Project Worcester,Health and Mental Health,Case Management,HIV and AIDS services,"Counseling, Therapy, Psychological and Psychiatric Services",,,Para-professional support services,Basic Support,Behavioral Health Services,,,Case Management,Housing Search,Clinical Counseling,,,,,"Community Prevention, Education, and Outreach",,,http://www.aidsprojectworcester.org/,85 Green Street,,Worcester,MA,01604,Worcester,(508) 755-3773 info@aidsprojectworcester.org,,mailto:info@aidsprojectworcester.org,,,LGBTQ youth,individual infected/affected by HIV/AIDS,,,"AIDS Project Worcester, Inc. (APW) is the primary and most comprehensive AIDS Service Organization (ASO) in Central Massachusetts, as well as in all of New England. AIDS Project Worcester has been providing, for over 20 years, a comprehensive range of services to support the medical care and various services needs of persons living with HIV/AIDS and those at greatest risk for the disease.",,,,,,,,,,,,,,,,,,,,,,,
AIDS Support Group of Cape Cod (Foley House),Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",HIV and AIDS services,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,Clubhouse,,,http://www.asgcc.org/,,,Provincetown,MA,02657,Barnstable,508.487.6440,,,,,LGBTQ youth,HIV infected or affected individuals,,,"The AIDS Support Group of Cape Cod, one of the first AIDS organizations established in the United States, works to foster health, independence and dignity for people living with HIV/AIDS and Viral Hepatitis by providing care, support and housing.  We work to help reduce the spread of HIV and other sexually transmitted infections through prevention, education and testing services. ",,,,,,,,,,,,,,,,,,,,,,,
AIDS Support Group of Cape Cod (Hyannis Office),Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",HIV and AIDS services,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,Clubhouse,,,http://www.asgcc.org/,428 South Street,,Hyannis,MA,02610,Barnstable,508.778.1954,,,,,LGBTQ youth,HIV infected or affected individuals,,,"The AIDS Support Group of Cape Cod, one of the first AIDS organizations established in the United States, works to foster health, independence and dignity for people living with HIV/AIDS and Viral Hepatitis by providing care, support and housing.  We work to help reduce the spread of HIV and other sexually transmitted infections through prevention, education and testing services. ",,,,,,,,,,,,,,,,,,,,,,,
