Organization	NEW Search Category	NEW Search Category 2	Search Category 1	Search Category 2	Search Category 3	Search Category 4	Search Category 5	Search Category 6	Revised Service Class: Level 1	Revised Service Class: Level 1	Revised Service Class: Level 1	Revised Service Class: Level 2	Revised Service Class: Level 2	Revised Service Class: Level 2	Revised Service Class: Level 2	Revised Service Class: Level 2	Revised Service Class: Level 2	Revised Service Class: Level 2	Service Class 1	Service Class 2	Service Class 3	Website URL	Address	Unit Number	City	State	Zip Code	County	Phone Number	Contact Name 1	Contact Email 1	Contact Name 2	Contact Email 2 (NOT FOR PUBLIC USE)	Target Population 1	Target Population 2	Target Population 3	Min Age	Max Age	Mission Statement	Languages Spoken	Wheelchair Accessible?	Insurance Accepted	Additional Notes
 Salon 241 			Other Specialist: Cosmology						Other Professional Services													www.salon241.com 	241 Main Street		Northampton	MA	 01060 	Hampshire	(413) 584-77798 	 Katie Clifford 		Andrea Waller		Transgender									
 The Village Day Spa 			Other Specialist: Cosmology						Other Professional Services													www.thevillagedayspa.com 	2 Main Street 		Florence 	MA	01062	Hampshire	(413) 584-4644 					Transgender									
A New Day - Health Imperatives	Mental Health		Health and Mental Health	Counseling, Therapy, Psychological and Psychiatric Services					Para-professional Support Services	Awareness		Individual Advocacy Services	Counseling, Therapy and Support	Hotline Services								http://healthimperatives.org/anewday/	950 W. Chestnut Street		Brockton	MA	02301		(508) 588-2045 										A New Day, formerly Womansplace Crisis Center, is a program of Health Imperatives. We promote healing and create solutions to end sexual violence and relationship violence. Services are open to all people regardless of gender, age, sexual orientation, race, and language.				24 hour hotline: 508-588-8255; also have sites in quincy and plymouth, but couldn't find the addresses
AA Central Service Committee of Eastern Mass	Community & Social Support		Community Group	Counseling, Therapy, Psychological and Psychiatric Services					Para-professional Support Services			Para-professional Counseling, Therapy and Support							Direct Prevention, Outreach and Stabilization Services			http://www.aaboston.org/	12 Channel Street	Suite 604	Boston	MA	02210	Suffolk	(617) 426-9444										Alcoholics Anonymous is a fellowship of men and women who share their experience, strength and hope with each other that they may solve their common problem and help others to recover from alcoholism. 				MEN AND WOMEN SPECIFIED? SHOULD WE OMIT THAT BIT? OR IS IT USEFUL?
AAGLY (Athol Alliance of Gay and Lesbian Youth)	Community & Social Support		Community Group				unice		Para-professional Support Services			Para-professional Counseling, Therapy and Support							Clubhouse						Athol	MA		Worcester	(508) 249-2248	Norma Whelpley				LGBTQ									FROM ERIKA'S CATEGORIES: IS THIS ACCESSIBLE TO YOUTH?
Adoption and Foster Care Mentoring	Training & Advocacy		Education, Training, and Employment						Para-professional Support Services													www.afcmentoring.org	727 Atlantic Avenue	3rd Floor	Boston	MA	02111	Suffolk	(617) 224-1300								7		Adoption & Foster Care Mentoring (AFC) is the only mentoring organization in Massachusetts that exclusively serves youth in foster care. Founded in 2001, AFC empowers foster youth in Greater Boston to flourish through committed mentoring relationships and the development of essential life skills. We provide long term one-to-one mentoring and life skills development for young people who have been removed from their homes due to abuse or neglect. AFC’s volunteer mentors are often the only adults in our youth’s lives who are not paid to spend time with them.				
Adoption Resource Associates	Mental Health		Counseling, Therapy, Psychological and Psychiatric Services						Placement Services	Support Services												http://adoptara.org/	245 First Street	18th Floor	Cambridge	MA	02142	Middlesex	(617) 492-8888 					Family	LGBTQ				Our mission is to support and nurture individuals and couples who want to expand their family through adoption. We believe strongly in the importance of serving all who come to us without regard for family structure, sexual orientation, race, ethnicity or income level. We are committed to educating, counseling, and offering support. Our goal is to empower adoptive parents throughout the entire adoption process.				
Adoption Resource Associates	Mental Health		Counseling, Therapy, Psychological and Psychiatric Services						Placement Services	Support Services												http://adoptara.org/			Northampton	MA		Hampshire	(617) 492-8888 					Family	LGBTQ				Our mission is to support and nurture individuals and couples who want to expand their family through adoption. We believe strongly in the importance of serving all who come to us without regard for family structure, sexual orientation, race, ethnicity or income level. We are committed to educating, counseling, and offering support. Our goal is to empower adoptive parents throughout the entire adoption process.				
Adoption Resource Associates	Mental Health		Counseling, Therapy, Psychological and Psychiatric Services						Placement Services	Support Services												http://adoptara.org/			Truro	MA		Barnstable	(617) 492-8888 					Family	LGBTQ				Our mission is to support and nurture individuals and couples who want to expand their family through adoption. We believe strongly in the importance of serving all who come to us without regard for family structure, sexual orientation, race, ethnicity or income level. We are committed to educating, counseling, and offering support. Our goal is to empower adoptive parents throughout the entire adoption process.				
Affirmative Counseling	Mental Health		Health and Mental Health	Counseling, Therapy, Psychological and Psychiatric Services					Behavioral Health Services			Clinical Counseling	Other Professional Counseling and Therapy						Clinical and Medical Counseling, Therapy and Treatment			www.affirmativecounseling.net	42 Howard Street		Pittsfield	MA	01201	Berkshire	(413) 358-3038	Sara Shuff	sarashuff@affirmativecounseling.net	Kelly Heck	kellyheck@affirmativecounseling.net	LGBTQ	Transgender	Family			At Affirmative Counseling we believe that each person has the ability to heal and grow; to create a life that is satisfying and meaningful; to build life-giving relationships; to accept imperfection in self and others; and to find the strength to cope with the challenges that life presents.  We use a variety of traditional and holistic therapeutic techniques to support you in your journey of physical, emotional, intellectual, and spiritual well-being.	English	No	MassHealth, Medicare, Private health insurance	
After Surgery Support Exchange For Transsexuals (ASSET)	Community & Social Support		Community Group																				P.O. Box 3121		Greenfield	MA	01302-3121	Franklin			asset@crocker.com - EMAIL NOT WORKING			Transgender									
AIDS Action Committee	Physical Health		Health and Mental Health	Case Management	Legal Services	HIV and AIDS Services	Screening and Testing	Hotline Services	Other Professional Services	Health Care	 Para-professional Support Services	Legal Services	Clinical Counseling	Medical Counseling	 Case Management				Community Prevention, Education and Outreach			http://www.aac.org/about/	75 Amory Street		Boston	MA	02119	Suffolk	(617) 437-6200					LGBTQ					AIDS Action Committee of Massachusetts is a leader in the fight against HIV/AIDS, advocating at the city, state, and federal levels for fair and effective AIDS policies, conducting cutting edge HIV prevention programs, and providing health and wellness services to people already living with HIV. 				HIV/STD Hotline: 1-800-235-2331, Hepatitis Hotline: 888-443-4372, Sexual Health Line: 877-627-3933
AIDS Action Committee	Physical Health		Health and Mental Health	Case Management	Legal Services	HIV and AIDS Services	Screening and Testing	Hotline Services	Other Professional Services	Health Care	 Para-professional Support Services	Legal Services	Clinical Counseling	Medical Counseling	 Case Management							http://www.aac.org/about/  	359 Green Street		Cambridge	MA	02139	Middlesex	(617) 661-3040					LGBTQ					AIDS Action Committee of Massachusetts is a leader in the fight against HIV/AIDS, advocating at the city, state, and federal levels for fair and effective AIDS policies, conducting cutting edge HIV prevention programs, and providing health and wellness services to people already living with HIV. 				HIV/STD Hotline: 1-800-235-2331, Hepatitis Hotline: 888-443-4372, Sexual Health Line: 877-627-3933
AIDS Foundation of Western Massachusetts	Community & Social Support		Community Group	Education, Training, and Employment	HIV and AIDS Services				Para-professional Support Services	Awareness		Community Outreach, Education and Engagement										http://aidsfoundationwm.org/?page_id=10	1168 Main Street		Springfield	MA	01103	Worcester	(413) 301-0955		info@aidsfoundationwm.org								The AIDS Foundation of Western Massachusetts (AFWM) was founded to provide emergency financial assistance to those in our communities who are limited as a direct or indirect result of HIV/AIDS. The organization also helps children who are infected or affected by HIV/AIDS attend the summer camp of their choice through our Camperships Program, providing a sense of normalcy and relief from day-to-day stressors of living with HIV/AIDS. 				
AIDS Project Worcester	 Physical Health		Health and Mental Health	Case Management	HIV and AIDS Services	Counseling, Therapy, Psychological and Psychiatric Services	Education, Training, and Employment	Sexual Health Services	Para-professional Support Services	Basic Support	Behavioral Health Services	Case Management	Housing Search	Clinical Counseling					Community Prevention, Education, and Outreach			http://www.aidsprojectworcester.org/	85 Green Street		Worcester	MA	01604	Worcester	(508) 755-3773		mailto:info@aidsprojectworcester.org	Martha Akstin (508) 755-3773 	makstin@aidsprojectworcester.org	LGBTQ	Transgender 	Allies	14	25	AIDS Project Worcester is a nonprofit organization in Central Massachusetts dedicated to ending the HIV/AIDS pandemic and fostering wellness through service, advocacy, prevention, education, and collaborative initiatives.  We empower and enhance the lives of people infected and affected by HIV/AIDS by fighting stigma and discrimination and through individualized services and best practices in a supportive, multicultural setting.	Spanish, Portuguese	Yes	N/A 	
AIDS Support Group of Cape Cod (Foley House)	Physical Health		Health and Mental Health		HIV and AIDS Services				Para-professional Support Services			Para-professional Counseling, Therapy and Support							Clubhouse			http://www.asgcc.org/			Provincetown	MA	02657	Barnstable	(508) 487-6440					LGBTQ					The AIDS Support Group of Cape Cod, one of the first AIDS organizations established in the United States, works to foster health, independence and dignity for people living with HIV/AIDS and Viral Hepatitis by providing care, support and housing.  We work to help reduce the spread of HIV and other sexually transmitted infections through prevention, education and testing services. 				
AIDS Support Group of Cape Cod (Hyannis Office)	Physical Health		Health and Mental Health		HIV and AIDS Services				Para-professional Support Services			Para-professional Counseling, Therapy and Support							Clubhouse			http://www.asgcc.org/	428 South Street		Hyannis	MA	02610	Barnstable	(508) 778-1954					LGBTQ					The AIDS Support Group of Cape Cod, one of the first AIDS organizations established in the United States, works to foster health, independence and dignity for people living with HIV/AIDS and Viral Hepatitis by providing care, support and housing.  We work to help reduce the spread of HIV and other sexually transmitted infections through prevention, education and testing services. 				
AIDS Support Group of Cape Cod (Prevention and Screening)	Physical Health		Health and Mental Health		HIV and AIDS Services				Para-professional Support Services			Para-professional Counseling, Therapy and Support							Clubhouse			http://www.asgcc.org/	336 Commercial Street	#10	Provincetown	MA	02657	Barnstable	(508) 487-8311					LGBTQ					The AIDS Support Group of Cape Cod, one of the first AIDS organizations established in the United States, works to foster health, independence and dignity for people living with HIV/AIDS and Viral Hepatitis by providing care, support and housing.  We work to help reduce the spread of HIV and other sexually transmitted infections through prevention, education and testing services. 				
AIDS Support Group of Cape Cod (Provincetown Office)	Physical Health		Health and Mental Health						Para-professional Support Services			Para-professional Counseling, Therapy and Support							Clubhouse			http://www.asgcc.org/	96 Bradford Street		Provincetown	MA	02657	Barnstable	(508) 487-9445					LGBTQ					The AIDS Support Group of Cape Cod, one of the first AIDS organizations established in the United States, works to foster health, independence and dignity for people living with HIV/AIDS and Viral Hepatitis by providing care, support and housing.  We work to help reduce the spread of HIV and other sexually transmitted infections through prevention, education and testing services. 				
Aleah Nesteby, NP	Physical Health		Health and Mental Health						Health Care														Baystate High Street Health Center 140 High Street		Springfield	MA	01199	Hampden	(413) 794-1316					Transgender									
