Organization Name,Address ,Unit Number,Community,State,Zip Code,County,Services Offered 1,Services Offered 2,Services Offered 3,Services Offered 4,Services Offered 5,Services Offered 6,Services Offered 7,Services Offered 8,Services Offered 9,Website URL,Phone Number,Contact Name 1,Contact Email 1,Contact Name 2,Contact Email 2,Service Class 1,Service Class 2,Service Class 3,Target Population 1,Target Population 2,Target Population 3,Age Range,Additional Notes,,,,,,,,,,,,,,,,,,,,,,
"COPLAR (Children of Peace, Love and Rainbows)",,,Turners Falls,MA,,Franklin,support group,discussion group,social group,,,,,,,,(413) 863-9576,,,,,Clubhouse,,,LGBTQ youth,ally,,,group meets every Thursday 4-6pm,,,,,,,,,,,,,,,,,,,,,,
Franklin Area Gay and Lesbian Youth (FRAGLY),,,Franklin,MA,,Franklin,support group,social group,,,,,,,,,(508)-528-6412,,,,,Clubhouse,,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation Q South: Community Action Youth Programs,2 Conz Street,Maplewood Shops #34,Northampton,MA,01060,Franklin,support group,social group,,,,,,,,http://www.communityaction.us/our-groups-programs.html,413-774-7028,GenQ@communityaction.us,,,,Clubhouse,,,LGBTQ youth 12-21,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation Q North: Community Action Youth Programs,154 Federal Street,,Greenfield,MA,01301,Franklin,support group,social group,,,,,,,,http://www.communityaction.us/our-groups-programs.html,413-774-7028,GenQ@communityaction.us,,,,Clubhouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Greenfield GLASS (Gay, Lesbian and Straight Society)",,,Greenfield,MA,,Franklin,support group,social group,,,,,,,,,"413-774-7028
",GLASS@fcac.net,,,,Clubhouse,,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
PFLAG Franklin-Hampshire,53 Elm Street,,Shellbourne Falls,MA,01370,Franklin,support group,public education,,,,,,,,,(413)-625-6636,jcmalinski48@gmail.com,,,,"Community Prevention, Education and Outreach",,,parent of LGBTQ youth,ally,,,,,,,,,,,,,,,,,,,,,,,,,
"TREE (Transgender Rights, Education and Empowerment): Community Action Youth Programs",154 Federal Street,,Greenfield,MA,01301,Franklin,support group,social group,,,,,,,,http://www.communityaction.us/our-groups-programs.html,413-774-7028,TREE@communityaction.us,,,,Center-Based Basic Living and Personal Care Supports,Training and Skills Development,Clubhouse,LGBTQ youth 12-21,transgender youth,,,,,,,,,,,,,,,,,,,,,,,,,
"TREE (Transgender Rights, Education and Empowerment): Community Action Youth Programs",2 Conz Street,Maplewood Shops #34,Northampton,MA,01060,Franklin,support group,social group,,,,,,,,http://www.communityaction.us/our-groups-programs.html,413-774-7028,TREE@communityaction.us,,,,Center-Based Basic Living and Personal Care Supports,Training and Skills Development,Clubhouse,LGBTQ youth 12-21,transgender youth,,,,,,,,,,,,,,,,,,,,,,,,,
Tapestry Health,80 Sanderson Street,,Greenfield,MA,01301,Franklin,healthcare,STI testing,HIV/AIDS,referrals ,housing services,,,,,http://www.tapestryhealth.org,(413) 773-8888,,,,,"Clinical and Medical Counseling, Therapy and Treatment",,,"all, with specializations in both youth and LGBTQ folks",,,,,,,,,,,,,,,,,,,,,,,,,,
BRAGLY,942 West Chestnut St.,,Brockton,MA,02301,Plymouth,social group,support group,STI testing,,,,,,,http://www.healthimperatives.org/glys/bragly,(800) 530-2770 ext. 229,Missy Sturtevant,msturtevant@healthimperatives.org,Clubhouse,,,LGBTQ youth,,,13-22,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Southeast Gay and Lesbian Youth,,,Brockton,MA,,Plymouth,social group,support group,,,,,,,,,(508) 583-2350,Lisa Marshall/Heidi Holland/Rob Lamarche,,Clubhouse,,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSHAGLY (South Shore Alliance of Gay and Lesbian Youth),24 River Street,,Norwell,MA,02061,Plymouth,social group,support group,,,,,,,,https://www.facebook.com/sshagly.southshore,781-312-8073,,Sshagly@gmail.com,Clubhouse,,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The GLBT Youth Support Project and OutHealth!,942 West Chestnut St.,,Brockton,MA,02301,Plymouth,resources,training and technical assistance,risk assessment,,,,,,,http://www.hcsm.org/glys/home,800.530.2770 ext. 229,Missy Sturtevant,msturtevant@healthimperatives.org,"Community Prevention, Education and Outreach",,,LGBTQ youth,Family,Ally,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin American Health Institute,142 Crescent Street,Second Floor,Brockton,MA,02302,Plymouth,HIV/AIDS,resources,healthcare,mental health services,Substance abuse services,,,,,http://www.lhi.org/Homepage.aspx,508 941-0005,Ginny Mercure,ginny@lhi.org,,,"Community Prevention, Education and Outreach",LGBTQ youth,,LGBTQ youth,,,,,Pubilc Health/ HIV Services for Latin American community,,,,,,,,,,,,,,,,,,,,,
Child and Family Services,118 Long Pond Road,Suite 102,Plymouth,MA,02360,Plymouth,mental health services,counseling,case management,referrals,family support,training and technical assistance,adoption services,,,http://child-familyservices.org/cape-cod/, (800) 469-9888,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",LGBTQ youth,,LGBTQ youth,family,parent,ally,,,,,,,,,,,,,,,,,,,,,,,
New Bedford Alliance for Gay and Lesbian Youth (NB-AGLY),484 Pleasant Street,,New Bedford,MA,02740,Bristol,social group,support group,,,,,,,,http://aperfectplace.org/,508.994.4521 x105,,nbagly@gmail.com,Clubhouse,,,LGBTQ youth,,,14-24,,,,,,,,,,,,,,,,,,,,,,,,,
Southcoast Diversity Alliance,,,New Bedford,MA,02742 ,Bristol,social group,support group,,,,,,,,,(508) 996-3147,,,Clubhouse,,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UMass Dartmouth Center for Women, Gender and Sexuality and Pride Alliance",285 Old Westport Road,MacLean Campus Center Suite 207,North Dartmouth,MA,02747,Bristol,social group,counseling,domestic violence services,support group,resources,,,,,http://www.umassd.edu/cwgs/,508.910.6567,,cwgs@umassd.edu,Clubhouse,,,LGBTQ youth,allies,,college students,,,,,,,,,,,,,,,,,,,,,,,,,
Child and Family Services (Headquarters),3057 Acushnet Avenue,,New Bedford,MA,02745,Bristol,mental health services,counseling,case management,referrals,family support,training and technical assistance,adoption services,,,http://child-familyservices.org/cape-cod/,(508) 742-1040,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,LGBTQ youth,family,parent,ally,,,,,,,,,,,,,,,,,,,,,,,
Child and Family Services (Mental Health Clinic),1061 Pleasant Street,,New Bedford,MA,02740,Bristol,mental health services,counseling,case management,referrals,family support,training and technical assistance,adoption services,,,http://child-familyservices.org/cape-cod/, (508) 996-8572,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,LGBTQ youth,family,parent,ally,,,,,,,,,,,,,,,,,,,,,,,
Child and Family Services (Mental Health Clinic),66 Troy Street,,New Bedford,MA,02740,Bristol,mental health services,counseling,case management,referrals,family support,training and technical assistance,adoption services,,,http://child-familyservices.org/cape-cod/,(508) 676-5708,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,LGBTQ youth,family,parent,ally,,,,,,,,,,,,,,,,,,,,,,,
Child and Family Services,543 North Street,,New Bedford,MA,02740,Bristol,mental health services,counseling,case management,referrals,family support,training and technical assistance,adoption services,,,http://child-familyservices.org/cape-cod/,(508) 996-3154,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,LGBTQ youth,family,parent,ally,,,,,,,,,,,,,,,,,,,,,,,
"Journeys of Hope, Inc.",211 Bridge Street,,Salem,MA,01970,Essex,homeless services,case management,service referrals ,education services,,,,,,http://johma.org/,978-500-7478,Phil Hayes,phayes.journeysofhope@gmail.com﻿,,,Child/Adolescent Community Based Social Skills and Recreation,,,homeless youth,,,18-23,,,,,,,,,,,,,,,,,,,,,,,
"MCVAGLY (Merrimack Valley Alliance of Gay, Lesbian, Bisexual, and Transgender Youth)",190 Academy Road,,North Andover,MA,01845,Essex,support group,social group,,,,,,,,www.mcvagly.org,,Tad,tjbickford@comcast.net,Amy,morgnsgrl@comcast.net,Clubhouse,,,LGBTQ youth,ally,,,,,,,,,,,,,,,,,,,,,,,,,
North Shore Alliance of Gay and Lesbian Youth (NAGLY),211 Bridge Street,,Salem,MA,01970,Essex,support group,social group,,,,,,,,http://www.nagly.org/,617-927-6088,Coco Alinsug,naglyleaders@gmail.com,,,Clubhouse,,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
One Gordon (at Gordon College),,,Wenham,MA,01984,Essex,college group,social group,,,,,,,,https://www.facebook.com/OneGordonLGBTQ,,Paul Miller,paulolanmiller@gmail.com) ,,,Clubhouse,,,LGBTQ youth,,,college student,,,,,,,,,,,,,,,,,,,,,,,
Health Quarters,900 Cummings Center,Suite 126-R,Beverly,MA,01915,Essex,healthcare,STI testing,training and technical assistance,,,,,,,http://www.healthq.org/,978-922-4490,,info@healthq.org,,,,,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Quarters,215 Summer Street,Suite 16,Haverhill,MA,01830,Essex,healthcare,STI testing,training and technical assistance,,,,,,,http://www.healthq.org/,978-521-4444,,info@healthq.org,,,,,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Quarters,101 Amesbury Street,Suites 106 &107,Lawrence,MA,01840,Essex,healthcare,STI testing,training and technical assistance,,,,,,,http://www.healthq.org/,978-681-5258,,info@healthq.org,,,,,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
Lynn Community Health Center (Health Quarters),694 Western Avenue,,Lynn,MA,01905,Essex,healthcare,STI testing,training and technical assistance,,,,,,,http://www.healthq.org/,781-593-1115,,info@healthq.org,,,,,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem Family Health Center (Health Quarters),47 Congress Street,,Salem,MA,01970,Essex,healthcare,STI testing,training and technical assistance,,,,,,,http://www.healthq.org/,(978) 744-8388,,info@healthq.org,,,,,,LGBTQ youth,,,,,,,,,,,,,,,,,,,,,,,,,,
Child and Family Services,439 South Union Street,Suite 203B,Lawrence,MA,01843,Essex,mental health services,counseling,case management,referrals,family support,training and technical assistance,adoption services,,,http://child-familyservices.org/cape-cod/, (800) 469-9888,,,,,"Clinical and Medical Counseling, Therapy, and Treatment",,,LGBTQ youth,family,parent,ally,,,,,,,,,,,,,,,,,,,,,,,
